Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066006,1918,07,217.5,Y
IDCJAC0001,066006,1918,08,63.9,Y
IDCJAC0001,066006,1918,09,90.4,Y
IDCJAC0001,066006,1918,10,19.3,Y
IDCJAC0001,066006,1918,11,34.8,Y
IDCJAC0001,066006,1918,12,26.9,Y
IDCJAC0001,066006,1919,01,48.0,Y
IDCJAC0001,066006,1919,02,144.6,Y
IDCJAC0001,066006,1919,03,145.5,Y
IDCJAC0001,066006,1919,04,113.6,Y
IDCJAC0001,066006,1919,05,642.1,Y
IDCJAC0001,066006,1919,06,62.3,Y
IDCJAC0001,066006,1919,07,53.5,Y
IDCJAC0001,066006,1919,08,20.1,Y
IDCJAC0001,066006,1919,09,99.0,Y
IDCJAC0001,066006,1919,10,105.1,Y
IDCJAC0001,066006,1919,11,89.5,Y
IDCJAC0001,066006,1919,12,73.6,Y
IDCJAC0001,066006,1920,01,183.8,Y
IDCJAC0001,066006,1920,02,44.8,Y
IDCJAC0001,066006,1920,03,42.4,Y
IDCJAC0001,066006,1920,04,62.9,Y
IDCJAC0001,066006,1920,05,9.9,Y
IDCJAC0001,066006,1920,06,62.1,Y
IDCJAC0001,066006,1920,07,153.9,Y
IDCJAC0001,066006,1920,08,32.7,Y
IDCJAC0001,066006,1920,09,26.3,Y
IDCJAC0001,066006,1920,10,43.9,Y
IDCJAC0001,066006,1920,11,46.9,Y
IDCJAC0001,066006,1920,12,403.4,Y
IDCJAC0001,066006,1921,01,80.8,Y
IDCJAC0001,066006,1921,02,20.9,Y
IDCJAC0001,066006,1921,03,86.1,Y
IDCJAC0001,066006,1921,04,152.0,Y
IDCJAC0001,066006,1921,05,184.0,Y
IDCJAC0001,066006,1921,06,24.2,Y
IDCJAC0001,066006,1921,07,198.4,Y
IDCJAC0001,066006,1921,08,30.5,Y
IDCJAC0001,066006,1921,09,73.1,Y
IDCJAC0001,066006,1921,10,82.7,Y
IDCJAC0001,066006,1921,11,71.6,Y
IDCJAC0001,066006,1921,12,134.4,Y
IDCJAC0001,066006,1922,01,182.3,Y
