"Product.code","Station.number","Year","Month","Rainfall","Quality"
"IDCJAC0001",66006,1986,4,117.7,"Y"
"IDCJAC0001",66006,1986,5,55.8,"Y"
"IDCJAC0001",66006,1986,6,16,"Y"
"IDCJAC0001",66006,1986,7,48.7,"Y"
"IDCJAC0001",66006,1986,8,482.7,"Y"
"IDCJAC0001",66006,1986,9,31.2,"Y"
"IDCJAC0001",66006,1986,10,99.2,"Y"
"IDCJAC0001",66006,1986,11,172.2,"Y"
"IDCJAC0001",66006,1986,12,6.8,"Y"
"IDCJAC0001",66006,1987,1,83.2,"Y"
"IDCJAC0001",66006,1987,2,18.2,"Y"
"IDCJAC0001",66006,1987,3,149.2,"Y"
"IDCJAC0001",66006,1987,4,70.8,"Y"
"IDCJAC0001",66006,1987,5,47.9,"Y"
"IDCJAC0001",66006,1987,6,82.6,"Y"
"IDCJAC0001",66006,1987,7,113.9,"Y"
"IDCJAC0001",66006,1987,8,189.1,"Y"
"IDCJAC0001",66006,1987,9,8.1,"Y"
"IDCJAC0001",66006,1987,10,272.5,"Y"
"IDCJAC0001",66006,1987,11,180.6,"Y"
"IDCJAC0001",66006,1987,12,82.3,"Y"
"IDCJAC0001",66006,1988,1,96.3,"Y"
"IDCJAC0001",66006,1988,2,100,"Y"
"IDCJAC0001",66006,1988,3,79,"Y"
"IDCJAC0001",66006,1988,4,347.7,"Y"
"IDCJAC0001",66006,1988,5,272.4,"Y"
"IDCJAC0001",66006,1988,6,86.1,"Y"
"IDCJAC0001",66006,1988,7,109.3,"Y"
"IDCJAC0001",66006,1988,8,72.1,"Y"
"IDCJAC0001",66006,1988,9,145.2,"Y"
"IDCJAC0001",66006,1988,10,0.6,"Y"
"IDCJAC0001",66006,1988,11,166.1,"Y"
"IDCJAC0001",66006,1988,12,132.7,"Y"
"IDCJAC0001",66006,1989,1,158.8,"Y"
"IDCJAC0001",66006,1989,2,143.4,"Y"
"IDCJAC0001",66006,1989,3,143.2,"Y"
"IDCJAC0001",66006,1989,4,380.4,"Y"
"IDCJAC0001",66006,1989,5,157.6,"Y"
"IDCJAC0001",66006,1989,6,249.8,"Y"
"IDCJAC0001",66006,1989,7,32.7,"Y"
"IDCJAC0001",66006,1989,8,66.2,"Y"
"IDCJAC0001",66006,1989,9,2.2,"Y"
"IDCJAC0001",66006,1989,10,15.3,"Y"
"IDCJAC0001",66006,1989,11,60.6,"Y"
"IDCJAC0001",66006,1989,12,141.6,"Y"
"IDCJAC0001",66006,1990,1,82.9,"Y"
"IDCJAC0001",66006,1990,2,664.7,"Y"
"IDCJAC0001",66006,1990,3,139.1,"Y"
"IDCJAC0001",66006,1990,4,341.5,"Y"
"IDCJAC0001",66006,1990,5,110.1,"Y"
"IDCJAC0001",66006,1990,6,42,"Y"
